transaction_id,carrier_name,origin_city,destination_city,risk_classification,delivery_time_deviation,sla_breached,carrier_avg_deviation
TXN00572,Bluedart,Mumbai,Pune,Moderate Risk,5.5,1,3.05
TXN00776,Bluedart,Mumbai,Pune,Low Risk,5.48,1,3.05
TXN00002,Bluedart,Delhi,Pune,Moderate Risk,0.49,0,3.05
TXN00379,Bluedart,Bangalore,Chennai,Low Risk,-1.88,0,3.05
TXN00505,Bluedart,Mumbai,Chennai,Low Risk,4.97,1,3.05
TXN00775,Bluedart,Mumbai,Pune,Moderate Risk,3.52,0,3.05
TXN00006,Bluedart,Delhi,Pune,Moderate Risk,4.33,1,3.05
TXN00007,Bluedart,Delhi,Kolkata,High Risk,6.5,1,3.05
TXN00649,Bluedart,Mumbai,Kolkata,Moderate Risk,3.41,0,3.05
TXN00647,Bluedart,Delhi,Chennai,Low Risk,3.21,0,3.05
TXN00646,Bluedart,Bangalore,Kolkata,High Risk,5.3,1,3.05
TXN00383,Bluedart,Mumbai,Chennai,High Risk,1.43,0,3.05
TXN00384,Bluedart,Delhi,Chennai,Low Risk,-0.05,0,3.05
TXN00645,Bluedart,Bangalore,Chennai,Low Risk,4.18,1,3.05
TXN00643,Bluedart,Mumbai,Chennai,High Risk,8.46,1,3.05
TXN00015,Bluedart,Delhi,Chennai,High Risk,7.52,1,3.05
TXN00772,Bluedart,Mumbai,Chennai,Moderate Risk,3.61,0,3.05
TXN00771,Bluedart,Bangalore,Pune,Low Risk,3.72,0,3.05
TXN00770,Bluedart,Bangalore,Pune,Moderate Risk,3.51,0,3.05
TXN00274,Bluedart,Mumbai,Pune,High Risk,10.77,1,3.05
TXN00276,Bluedart,Mumbai,Kolkata,Moderate Risk,6.61,1,3.05
TXN00021,Bluedart,Mumbai,Pune,Low Risk,-0.97,0,3.05
TXN00278,Bluedart,Bangalore,Kolkata,Low Risk,0.33,0,3.05
TXN00769,Bluedart,Bangalore,Chennai,Low Risk,0.71,0,3.05
TXN00766,Bluedart,Bangalore,Kolkata,Moderate Risk,1.91,0,3.05
TXN00286,Bluedart,Mumbai,Kolkata,Moderate Risk,5.8,1,3.05
TXN00287,Bluedart,Mumbai,Chennai,Moderate Risk,3.43,0,3.05
TXN00288,Bluedart,Bangalore,Chennai,Moderate Risk,6.82,1,3.05
TXN00764,Bluedart,Delhi,Chennai,Low Risk,-0.08,0,3.05
TXN00636,Bluedart,Mumbai,Pune,Low Risk,-0.46,0,3.05
TXN00030,Bluedart,Bangalore,Kolkata,Low Risk,-0.99,0,3.05
TXN00031,Bluedart,Delhi,Pune,Moderate Risk,1.85,0,3.05
TXN00762,Bluedart,Delhi,Chennai,Moderate Risk,3.32,0,3.05
TXN00290,Bluedart,Mumbai,Kolkata,Moderate Risk,6.2,1,3.05
TXN00292,Bluedart,Delhi,Pune,Moderate Risk,1.92,0,3.05
TXN00035,Bluedart,Bangalore,Pune,Low Risk,0.78,0,3.05
TXN00454,Bluedart,Mumbai,Chennai,Moderate Risk,4.93,1,3.05
TXN00037,Bluedart,Mumbai,Kolkata,Low Risk,2.3,0,3.05
TXN00038,Bluedart,Bangalore,Kolkata,Low Risk,1.35,0,3.05
